repository_name,file_path,language,loc,complexity,maintainability_index,commit_count,modification_count,contributor_count,commit_frequency,repository_age_days,bug_fix_commit_count,historical_risk_label
axios,examples/network_enhanced.js,javascript,51,16,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,examples/server.js,javascript,158,36,-1.0,11,11,9,0.0025492468134414,4315,6,HIGH
axios,examples/post/server.js,javascript,14,3,-1.0,5,5,5,0.0011587485515643,4315,3,HIGH
axios,examples/abort-controller/server.js,javascript,22,4,-1.0,3,3,3,0.0006952491309385,4315,2,MEDIUM
axios,examples/get/server.js,javascript,33,1,-1.0,4,4,4,0.0009269988412514,4315,2,MEDIUM
axios,examples/postMultipartFormData/server.js,javascript,10,3,-1.0,4,4,4,0.0009269988412514,4315,3,HIGH
axios,examples/upload/server.js,javascript,11,3,-1.0,3,3,3,0.0006952491309385,4315,2,MEDIUM
axios,scripts/axios-build-instance.js,javascript,23,1,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,lib/axios.js,javascript,49,5,-1.0,84,84,22,0.0194669756662804,4315,25,HIGH
axios,lib/utils.js,javascript,505,182,-1.0,88,88,44,0.0203939745075318,4315,46,HIGH
axios,lib/cancel/CancelToken.js,javascript,85,24,-1.0,9,9,4,0.0020857473928157,4315,5,HIGH
axios,lib/cancel/isCancel.js,javascript,4,2,-1.0,2,2,2,0.0004634994206257,4315,1,MEDIUM
axios,lib/cancel/CanceledError.js,javascript,10,2,-1.0,5,5,4,0.0011587485515643,4315,2,MEDIUM
axios,lib/core/settle.js,javascript,16,6,-1.0,11,11,8,0.0025492468134414,4315,4,HIGH
axios,lib/core/AxiosError.js,javascript,122,36,-1.0,16,16,8,0.0037079953650057,4315,12,HIGH
axios,lib/core/Axios.js,javascript,210,35,-1.0,55,55,30,0.0127462340672074,4315,37,HIGH
axios,lib/core/InterceptorManager.js,javascript,34,11,-1.0,12,12,8,0.0027809965237543,4315,5,HIGH
axios,lib/core/dispatchRequest.js,javascript,56,12,-1.0,41,41,19,0.0095017381228273,4315,21,HIGH
axios,lib/core/buildFullPath.js,javascript,34,11,-1.0,7,7,6,0.00162224797219,4315,6,HIGH
axios,lib/core/transformData.js,javascript,15,5,-1.0,7,7,5,0.00162224797219,4315,3,HIGH
axios,lib/core/AxiosHeaders.js,javascript,340,11,-1.0,23,23,7,0.0053302433371958,4315,21,HIGH
axios,lib/core/mergeConfig.js,javascript,121,38,-1.0,34,34,17,0.0078794901506373,4315,20,HIGH
axios,lib/platform/index.js,javascript,6,1,-1.0,4,4,2,0.0009269988412514,4315,4,HIGH
axios,lib/platform/browser/index.js,javascript,12,1,-1.0,10,10,4,0.0023174971031286,4315,8,HIGH
axios,lib/platform/browser/classes/URLSearchParams.js,javascript,3,1,-1.0,4,4,1,0.0009269988412514,4315,2,MEDIUM
axios,lib/platform/browser/classes/Blob.js,javascript,2,1,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,lib/platform/browser/classes/FormData.js,javascript,2,1,-1.0,3,3,1,0.0006952491309385,4315,2,MEDIUM
axios,lib/platform/common/utils.js,javascript,20,3,-1.0,4,4,2,0.0009269988412514,4315,3,HIGH
axios,lib/platform/node/index.js,javascript,31,2,-1.0,5,5,2,0.0011587485515643,4315,4,HIGH
axios,lib/platform/node/classes/URLSearchParams.js,javascript,3,1,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,lib/platform/node/classes/FormData.js,javascript,2,1,-1.0,2,2,1,0.0004634994206257,4315,1,MEDIUM
axios,lib/env/data.js,javascript,1,1,-1.0,87,87,4,0.020162224797219,4315,4,HIGH
axios,lib/env/classes/FormData.js,javascript,2,1,-1.0,3,3,1,0.0006952491309385,4315,1,MEDIUM
axios,lib/adapters/fetch.js,javascript,487,182,-1.0,34,34,16,0.0078794901506373,4315,33,HIGH
axios,lib/adapters/adapters.js,javascript,67,19,-1.0,7,7,3,0.00162224797219,4315,4,HIGH
axios,lib/adapters/xhr.js,javascript,166,54,-1.0,134,134,62,0.0310544611819235,4315,59,HIGH
axios,lib/adapters/http.js,javascript,1016,295,-1.0,203,203,107,0.047045191193511,4315,121,HIGH
axios,lib/defaults/transitional.js,javascript,9,1,-1.0,6,6,4,0.0013904982618771,4315,5,HIGH
axios,lib/defaults/index.js,javascript,133,12,-1.0,22,22,6,0.0050984936268829,4315,12,HIGH
axios,lib/helpers/combineURLs.js,javascript,6,2,-1.0,5,5,5,0.0011587485515643,4315,3,HIGH
axios,lib/helpers/parseProtocol.js,javascript,5,5,-1.0,4,4,3,0.0009269988412514,4315,4,HIGH
axios,lib/helpers/fromDataURI.js,javascript,38,12,-1.0,6,6,3,0.0013904982618771,4315,4,HIGH
axios,lib/helpers/deprecatedMethod.js,javascript,16,4,-1.0,8,8,3,0.0018539976825028,4315,2,MEDIUM
axios,lib/helpers/buildURL.js,javascript,38,10,-1.0,24,24,17,0.0055619930475086,4315,16,HIGH
axios,lib/helpers/AxiosTransformStream.js,javascript,128,26,-1.0,4,4,2,0.0009269988412514,4315,3,HIGH
axios,lib/helpers/null.js,javascript,1,1,-1.0,2,2,1,0.0004634994206257,4315,2,MEDIUM
axios,lib/helpers/Http2Sessions.js,javascript,88,21,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,lib/helpers/isURLSameOrigin.js,javascript,14,5,-1.0,14,14,8,0.00324449594438,4315,10,HIGH
axios,lib/helpers/isAbsoluteURL.js,javascript,7,3,-1.0,8,8,7,0.0018539976825028,4315,4,HIGH
axios,lib/helpers/AxiosURLSearchParams.js,javascript,52,1,-1.0,5,5,2,0.0011587485515643,4315,3,HIGH
axios,lib/helpers/callbackify.js,javascript,16,6,-1.0,2,2,2,0.0004634994206257,4315,1,MEDIUM
axios,lib/helpers/isAxiosError.js,javascript,5,2,-1.0,6,6,5,0.0013904982618771,4315,2,MEDIUM
axios,lib/helpers/toFormData.js,javascript,160,71,-1.0,22,22,8,0.0050984936268829,4315,14,HIGH
axios,lib/helpers/cookies.js,javascript,49,13,-1.0,15,15,6,0.0034762456546929,4315,6,HIGH
axios,lib/helpers/estimateDataURLDecodedBytes.js,javascript,79,42,-1.0,4,4,2,0.0009269988412514,4315,4,HIGH
axios,lib/helpers/trackStream.js,javascript,78,19,-1.0,5,5,2,0.0011587485515643,4315,4,HIGH
axios,lib/helpers/validator.js,javascript,76,23,-1.0,9,9,3,0.0020857473928157,4315,6,HIGH
axios,lib/helpers/composeSignals.js,javascript,45,18,-1.0,5,5,4,0.0011587485515643,4315,2,MEDIUM
axios,lib/helpers/ZlibHeaderTransformStream.js,javascript,21,4,-1.0,2,2,2,0.0004634994206257,4315,2,MEDIUM
axios,lib/helpers/HttpStatusCode.js,javascript,75,1,-1.0,2,2,2,0.0004634994206257,4315,1,MEDIUM
axios,lib/helpers/formDataToStream.js,javascript,100,1,-1.0,9,9,6,0.0020857473928157,4315,7,HIGH
axios,lib/helpers/throttle.js,javascript,33,9,-1.0,5,5,3,0.0011587485515643,4315,3,HIGH
axios,lib/helpers/formDataToJSON.js,javascript,72,23,-1.0,8,8,3,0.0018539976825028,4315,6,HIGH
axios,lib/helpers/speedometer.js,javascript,35,10,-1.0,3,3,3,0.0006952491309385,4315,3,HIGH
axios,lib/helpers/sanitizeHeaderValue.js,javascript,40,16,-1.0,1,1,1,0.0002317497103128,4315,1,MEDIUM
axios,lib/helpers/bind.js,javascript,6,2,-1.0,4,4,4,0.0009269988412514,4315,1,MEDIUM
axios,lib/helpers/progressEventReducer.js,javascript,46,15,-1.0,5,5,4,0.0011587485515643,4315,4,HIGH
axios,lib/helpers/readBlob.js,javascript,13,4,-1.0,3,3,2,0.0006952491309385,4315,1,MEDIUM
axios,lib/helpers/spread.js,javascript,6,2,-1.0,8,8,5,0.0018539976825028,4315,2,MEDIUM
axios,lib/helpers/toURLEncodedForm.js,javascript,16,4,-1.0,5,5,3,0.0011587485515643,4315,3,HIGH
